,시군명,관광객수
0,가평군,26575806
1,고양시,159828345
2,과천시,20667626
3,광명시,40108714
4,광주시,46698309
5,구리시,45131622
6,군포시,25934596
7,김포시,50811160
8,남양주시,71622652
9,동두천시,10157770
10,부천시,91460358
11,성남시,155844234
12,수원시,214517774
13,시흥시,53704438
14,안산시,80102600
15,안성시,34840466
16,안양시,70670477
17,양주시,34473530
18,양평군,29618753
19,여주시,24910049
20,연천군,9277392
21,오산시,29113767
22,용인시,143731281
23,의왕시,29202384
24,의정부시,43760702
25,이천시,36507356
26,파주시,52661154
27,평택시,48990995
28,포천시,28184555
29,하남시,55741155
30,화성시,98698377
