기초지자체명,기초지자체 방문자 수,기초지자체 방문자 비율
가평군,2.6575806E7,1.4
고양시 덕양구,6.2100704E7,3.3
고양시 일산동구,5.6930645E7,3.1
고양시 일산서구,4.0796996E7,2.2
과천시,2.0667626E7,1.1
광명시,4.0108714E7,2.2
광주시,4.6698309E7,2.5
구리시,4.5131622E7,2.4
군포시,2.5934596E7,1.4
김포시,5.081116E7,2.7
남양주시,7.1622652E7,3.8
동두천시,1.015777E7,0.5
부천시,3.6110134E7,1.9
부천시 소사구,1.3126159E7,0.7
부천시 오정구,1.0260254E7,0.6
부천시 원미구,3.1963811E7,1.7
성남시 분당구,8.6249819E7,4.6
성남시 수정구,4.3818467E7,2.4
성남시 중원구,2.5775948E7,1.4
수원시 권선구,4.4697503E7,2.4
수원시 영통구,5.9338058E7,3.2
수원시 장안구,4.2844708E7,2.3
수원시 팔달구,6.7637505E7,3.6
시흥시,5.3704438E7,2.9
안산시 단원구,5.2807675E7,2.8
안산시 상록구,2.7294925E7,1.5
안성시,3.4840466E7,1.9
안양시 동안구,4.099109E7,2.2
안양시 만안구,2.9679387E7,1.6
양주시,3.447353E7,1.8
양평군,2.9618753E7,1.6
여주시,2.4910049E7,1.3
연천군,9277392.0,0.5
오산시,2.9113767E7,1.6
용인시 기흥구,5.9281294E7,3.2
용인시 수지구,3.5657725E7,1.9
용인시 처인구,4.8792262E7,2.6
의왕시,2.9202384E7,1.6
의정부시,4.3760702E7,2.3
이천시,3.6507356E7,2.0
파주시,5.2661154E7,2.8
평택시,4.8990995E7,2.6
포천시,2.8184555E7,1.5
하남시,5.5741155E7,3.0
화성시,9.8698377E7,5.3
